dataset,case_id,label,split,sample_group,claim_characters,claim_whitespace_tokens,evidence_characters,evidence_whitespace_tokens,evidence_units,rendered_prompt_characters
AVeriTeC,0,conflicting,train,Conflicting-train,66,11,733,126,5,2772
AVeriTeC,1,refute,dev,Refuted,85,14,1172,192,3,3230
AVeriTeC,2,conflicting,train,Conflicting-train,127,16,1218,225,7,3318
AVeriTeC,3,conflicting,train,Conflicting-train,179,28,1911,309,4,4063
AVeriTeC,4,conflicting,train,Conflicting-train,138,20,503,91,3,2614
AVeriTeC,5,insufficient,dev,Not Enough Evidence,106,19,1971,320,3,4050
AVeriTeC,6,conflicting,dev,Conflicting-dev-all,122,17,414,72,3,2509
AVeriTeC,7,refute,dev,Refuted,51,8,2829,460,2,4853
AVeriTeC,8,conflicting,dev,Conflicting-dev-all,171,30,731,130,3,2875
AVeriTeC,9,support,dev,Supported,77,13,205,33,1,2255
AVeriTeC,10,conflicting,train,Conflicting-train,97,15,441,77,3,2511
AVeriTeC,11,support,dev,Supported,62,9,71,12,1,2106
AVeriTeC,12,conflicting,dev,Conflicting-dev-all,64,10,930,161,3,2967
AVeriTeC,13,conflicting,train,Conflicting-train,99,16,890,139,3,2962
AVeriTeC,14,conflicting,train,Conflicting-train,69,9,1188,194,4,3230
AVeriTeC,15,conflicting,train,Conflicting-train,153,28,1482,240,7,3608
AVeriTeC,16,conflicting,dev,Conflicting-dev-all,91,15,778,133,2,2842
AVeriTeC,17,conflicting,train,Conflicting-train,98,15,1016,174,3,3087
AVeriTeC,18,support,dev,Supported,153,26,1038,164,7,3164
AVeriTeC,19,conflicting,train,Conflicting-train,195,33,509,100,3,2677
AVeriTeC,20,conflicting,train,Conflicting-train,85,12,1179,183,3,3237
AVeriTeC,21,refute,dev,Refuted,201,27,351,59,1,2525
AVeriTeC,22,insufficient,dev,Not Enough Evidence,92,17,395,67,2,2460
AVeriTeC,23,conflicting,train,Conflicting-train,52,7,528,91,2,2553
AVeriTeC,24,conflicting,train,Conflicting-train,62,8,2558,359,4,4593
AVeriTeC,25,insufficient,dev,Not Enough Evidence,279,53,159,34,2,2411
AVeriTeC,26,conflicting,train,Conflicting-train,84,14,767,132,2,2824
AVeriTeC,27,insufficient,dev,Not Enough Evidence,95,17,120,23,1,2188
AVeriTeC,28,conflicting,train,Conflicting-train,178,30,423,75,2,2574
AVeriTeC,29,refute,dev,Refuted,78,12,1121,179,3,3172
AVeriTeC,30,support,dev,Supported,128,20,502,84,3,2603
AVeriTeC,31,conflicting,dev,Conflicting-dev-all,108,16,1471,254,4,3552
AVeriTeC,32,conflicting,train,Conflicting-train,86,14,1728,260,4,3787
AVeriTeC,33,conflicting,train,Conflicting-train,178,31,1048,170,4,3199
AVeriTeC,34,conflicting,dev,Conflicting-dev-all,57,10,638,101,1,2668
AVeriTeC,35,conflicting,train,Conflicting-train,89,15,2532,441,6,4594
AVeriTeC,36,refute,dev,Refuted,69,11,272,42,2,2314
AVeriTeC,37,conflicting,train,Conflicting-train,51,8,3396,586,4,5420
AVeriTeC,38,insufficient,dev,Not Enough Evidence,134,21,796,132,3,2903
AVeriTeC,39,conflicting,train,Conflicting-train,83,12,1049,180,4,3105
AVeriTeC,40,conflicting,train,Conflicting-train,105,20,1038,179,3,3116
AVeriTeC,41,refute,dev,Refuted,64,10,562,91,2,2599
AVeriTeC,42,refute,dev,Refuted,181,31,176,29,1,2330
AVeriTeC,43,refute,dev,Refuted,37,6,2238,404,4,4248
AVeriTeC,44,conflicting,train,Conflicting-train,132,19,427,64,4,2532
AVeriTeC,45,support,dev,Supported,86,15,359,62,3,2418
AVeriTeC,46,conflicting,dev,Conflicting-dev-all,155,29,2289,419,7,4417
AVeriTeC,47,conflicting,train,Conflicting-train,51,8,171,30,1,2195
AVeriTeC,48,conflicting,train,Conflicting-train,76,13,321,49,1,2370
AVeriTeC,49,insufficient,dev,Not Enough Evidence,131,24,1043,183,2,3147
