dataset,case_id,model,structural_category,prediction,is_dataset_cco,confidence
AVeriTeC,0,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,0,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,0,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,2,claude-haiku-4-5,material_mixed,conflicting,0,0.72
AVeriTeC,2,claude-sonnet-4-5,material_mixed,conflicting,0,0.82
AVeriTeC,2,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,3,claude-haiku-4-5,directional_plus_insufficient,refute,1,0.98
AVeriTeC,3,claude-sonnet-4-5,directional_plus_insufficient,refute,1,0.95
AVeriTeC,3,gpt-4o-mini,directional_plus_insufficient,refute,1,0.9
AVeriTeC,4,claude-haiku-4-5,directional_plus_insufficient,insufficient,0,0.85
AVeriTeC,4,claude-sonnet-4-5,directional_plus_insufficient,insufficient,0,0.75
AVeriTeC,4,gpt-4o-mini,directional_plus_insufficient,conflicting,0,0.7
AVeriTeC,6,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,6,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,6,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,8,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,8,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,8,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,10,claude-haiku-4-5,material_mixed,support,1,0.85
AVeriTeC,10,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,10,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,12,claude-haiku-4-5,refute_only,refute,1,0.95
AVeriTeC,12,claude-sonnet-4-5,refute_only,conflicting,0,0.95
AVeriTeC,12,gpt-4o-mini,refute_only,conflicting,0,0.8
AVeriTeC,13,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,13,claude-sonnet-4-5,material_mixed,support,1,0.85
AVeriTeC,13,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,14,claude-haiku-4-5,separate_support_and_refute,refute,1,0.95
AVeriTeC,14,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,14,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.8
AVeriTeC,15,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,15,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,15,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,16,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,16,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,16,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,17,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,17,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,17,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,19,claude-haiku-4-5,material_mixed,refute,1,0.95
AVeriTeC,19,claude-sonnet-4-5,material_mixed,refute,1,0.92
AVeriTeC,19,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,20,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,20,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,20,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,23,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,23,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.85
AVeriTeC,23,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.7
AVeriTeC,24,claude-haiku-4-5,refute_only,refute,1,0.95
AVeriTeC,24,claude-sonnet-4-5,refute_only,support,1,0.85
AVeriTeC,24,gpt-4o-mini,refute_only,conflicting,0,0.8
AVeriTeC,26,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,26,claude-sonnet-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,26,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,28,claude-haiku-4-5,directional_plus_insufficient,conflicting,0,0.85
AVeriTeC,28,claude-sonnet-4-5,directional_plus_insufficient,conflicting,0,0.85
AVeriTeC,28,gpt-4o-mini,directional_plus_insufficient,conflicting,0,0.7
AVeriTeC,31,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,31,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,31,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,32,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,32,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,32,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,33,claude-haiku-4-5,material_mixed,conflicting,0,0.72
AVeriTeC,33,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,33,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,34,claude-haiku-4-5,material_mixed,refute,1,0.95
AVeriTeC,34,claude-sonnet-4-5,material_mixed,refute,1,0.95
AVeriTeC,34,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,35,claude-haiku-4-5,material_mixed,conflicting,0,0.72
AVeriTeC,35,claude-sonnet-4-5,material_mixed,conflicting,0,0.82
AVeriTeC,35,gpt-4o-mini,material_mixed,support,1,0.9
AVeriTeC,37,claude-haiku-4-5,material_mixed,conflicting,0,0.72
AVeriTeC,37,claude-sonnet-4-5,material_mixed,refute,1,0.85
AVeriTeC,37,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,39,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,39,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,39,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,40,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,40,claude-sonnet-4-5,material_mixed,support,1,0.92
AVeriTeC,40,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,44,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,44,claude-sonnet-4-5,material_mixed,conflicting,0,0.9
AVeriTeC,44,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,46,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,46,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,46,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,47,claude-haiku-4-5,refute_only,conflicting,0,0.85
AVeriTeC,47,claude-sonnet-4-5,refute_only,conflicting,0,0.85
AVeriTeC,47,gpt-4o-mini,refute_only,conflicting,0,0.8
AVeriTeC,48,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,48,claude-sonnet-4-5,material_mixed,support,1,0.92
AVeriTeC,48,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,54,claude-haiku-4-5,material_mixed,conflicting,0,0.78
AVeriTeC,54,claude-sonnet-4-5,material_mixed,conflicting,0,0.9
AVeriTeC,54,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,56,claude-haiku-4-5,refute_only,refute,1,0.92
AVeriTeC,56,claude-sonnet-4-5,refute_only,refute,1,0.92
AVeriTeC,56,gpt-4o-mini,refute_only,refute,1,0.9
AVeriTeC,58,claude-haiku-4-5,material_mixed,insufficient,0,0.95
AVeriTeC,58,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,58,gpt-4o-mini,material_mixed,insufficient,0,0.7
AVeriTeC,63,claude-haiku-4-5,separate_support_and_refute,refute,1,0.95
AVeriTeC,63,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.85
AVeriTeC,63,gpt-4o-mini,separate_support_and_refute,refute,1,0.9
AVeriTeC,64,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,64,claude-sonnet-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,64,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,66,claude-haiku-4-5,material_mixed,insufficient,0,0.75
AVeriTeC,66,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,66,gpt-4o-mini,material_mixed,refute,1,0.9
AVeriTeC,67,claude-haiku-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,67,claude-sonnet-4-5,separate_support_and_refute,conflicting,0,0.92
AVeriTeC,67,gpt-4o-mini,separate_support_and_refute,conflicting,0,0.85
AVeriTeC,69,claude-haiku-4-5,material_mixed,refute,1,0.98
AVeriTeC,69,claude-sonnet-4-5,material_mixed,refute,1,0.95
AVeriTeC,69,gpt-4o-mini,material_mixed,refute,1,0.95
AVeriTeC,70,claude-haiku-4-5,material_mixed,conflicting,0,0.78
AVeriTeC,70,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,70,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,74,claude-haiku-4-5,material_mixed,refute,1,0.85
AVeriTeC,74,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,74,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,75,claude-haiku-4-5,material_mixed,conflicting,0,0.92
AVeriTeC,75,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,75,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,79,claude-haiku-4-5,material_mixed,conflicting,0,0.75
AVeriTeC,79,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,79,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,81,claude-haiku-4-5,material_mixed,refute,1,0.85
AVeriTeC,81,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,81,gpt-4o-mini,material_mixed,conflicting,0,0.8
AVeriTeC,84,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,84,claude-sonnet-4-5,material_mixed,conflicting,0,0.95
AVeriTeC,84,gpt-4o-mini,material_mixed,conflicting,0,0.7
AVeriTeC,87,claude-haiku-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,87,claude-sonnet-4-5,material_mixed,conflicting,0,0.85
AVeriTeC,87,gpt-4o-mini,material_mixed,conflicting,0,0.8
